app_name,volume_mn,value_cr,month,year
AU Small Finance Bank App,0.02,12.28,1,2021
Airtel Payments Bank Apps,3.71,355.77,1,2021
Allahabad Bank App,0.09,21.14,1,2021
Amazon Pay,46.3,4044.38,1,2021
Andhra Bank App,0.02,13.32,1,2021
Axis Bank Apps,71.96,618.44,1,2021
BHIM,23.38,7462.94,1,2021
Bajaj Finserv,0.01,0.99,1,2021
Bank of Baroda Apps,0.75,293.25,1,2021
Bank of Maharashtra App,0.02,6.37,1,2021
Canara Bank App,0.09,40.52,1,2021
Central Bank of India App,0.11,40.45,1,2021
Citi Bank App,0.09,71.3,1,2021
Cointab,0.13,43.7,1,2021
Cred,4.08,4247.83,1,2021
DBS Digibank App,0.56,178.75,1,2021
Dena Bank App,0.02,20.5,1,2021
Deutsche Bank App,0.55,60.65,1,2021
Federal Bank App,0.15,26.09,1,2021
Fino Payments Bank App,0.01,1.08,1,2021
Freecharge,1.12,63.8,1,2021
Google Pay,853.53,177791.47,1,2021
HDFC Bank Apps,1.52,244.03,1,2021
HSBC Bank App,0.06,41.59,1,2021
ICICI Bank Apps,10.46,1984.07,1,2021
IDBI Bank App,0.02,9.18,1,2021
IDFC Bank App,0.08,41.87,1,2021
India Post Payments Bank App,1.08,123.25,1,2021
Indian Bank App,0.02,5.77,1,2021
IndusInd Bank App,1.82,367.77,1,2021
Janta Sahakari Bank App,0.01,5.02,1,2021
Jio Payments Bank App,0.41,27.91,1,2021
Karnataka Bank App,0.07,15.35,1,2021
Karur Vysya Bank App,0.03,13.14,1,2021
Khalijeb,0.02,2.49,1,2021
Kotak Mahindra Bank Apps,1.88,343.38,1,2021
MI Pay,0.44,62.81,1,2021
MakeMy Trip,0.01,3.95,1,2021
Mobikwik,1.94,253.16,1,2021
Other Apps,0.03,10.76,1,2021
Paytm Payments Bank App,332.69,37845.76,1,2021
PhonePe,968.72,191973.77,1,2021
Punjab National Bank App,0.13,64.68,1,2021
Punjab Sind Bank App,0.01,3.18,1,2021
RBL Bank App,0.12,48.58,1,2021
RealMe,0.01,1.86,1,2021
Samsung Pay,1.67,314.07,1,2021
South Indian Bank App,0.06,22.77,1,2021
Standard Chartered Bank App,0.05,27.86,1,2021
State Bank of India Apps,4.29,2358.82,1,2021
Truecaller,0.01,1.94,1,2021
UCO Bank App,0.05,14.12,1,2021
Ultracash,0.75,120.28,1,2021
Union Bank Apps,0.24,99.94,1,2021
WhatsApp,0.56,36.44,1,2021
Yes Bank Apps,14.78,3207.95,1,2021
AU Small Finance Bank App,0.03,15.48,2,2021
Airtel Payments Bank Apps,3.33,348.7,2,2021
Allahabad Bank App,0.05,12.23,2,2021
Amazon Pay,44.22,3831.99,2,2021
Axis Bank Apps,64.74,648.47,2,2021
BHIM,20.44,6379.91,2,2021
Bajaj Finserv,0.01,1.03,2,2021
Bank of Baroda Apps,0.66,256.49,2,2021
Bank of Maharashtra App,0.02,5.73,2,2021
Canara Bank App,0.08,37.39,2,2021
Central Bank of India App,0.1,39.78,2,2021
Citi Bank App,0.1,64.89,2,2021
Cointab,0.12,41.56,2,2021
Cred,3.94,4229.11,2,2021
DBS Digibank App,0.52,167.48,2,2021
Dena Bank App,0.01,17.66,2,2021
Deutsche Bank App,0.55,59.97,2,2021
Federal Bank App,0.16,30.55,2,2021
Fino Payments Bank App,0.01,1.14,2,2021
Google Pay,827.86,174455.33,2,2021
HDFC Bank Apps,1.13,208.06,2,2021
HSBC Bank App,0.05,37.36,2,2021
ICICI Bank Apps,9.93,2477.23,2,2021
IDBI Bank App,0.02,9.15,2,2021
IDFC Bank App,0.1,47.09,2,2021
India Post Payments Bank App,1.23,145.46,2,2021
Indian Bank App,0.05,12.38,2,2021
IndusInd Bank App,2.16,379.54,2,2021
Janta Sahakari Bank App,0.01,4.35,2,2021
Jio Payments Bank App,0.36,25.76,2,2021
Karnataka Bank App,0.09,16.41,2,2021
Karur Vysya Bank App,0.03,13.87,2,2021
Kotak Mahindra Bank Apps,1.95,347.66,2,2021
MI Pay,0.4,59.91,2,2021
MakeMy Trip,0.12,44.08,2,2021
Mobikwik,1.92,216.94,2,2021
Other Apps,0.02,10.49,2,2021
Paytm Payments Bank App,340.71,38493.52,2,2021
PhonePe,975.53,189517.82,2,2021
Punjab National Bank App,0.13,62.93,2,2021
Punjab Sind Bank App,0.01,3.67,2,2021
RBL Bank App,0.12,49.4,2,2021
RealMe,0.01,1.63,2,2021
Samsung Pay,1.65,296.08,2,2021
South Indian Bank App,0.06,22.61,2,2021
Standard Chartered Bank App,0.05,27.11,2,2021
State Bank of India Apps,4.13,2273.77,2,2021
Truecaller,0.05,15.36,2,2021
UCO Bank App,0.06,13.69,2,2021
Ultracash,0.89,118.31,2,2021
Union Bank Apps,0.32,119.4,2,2021
WhatsApp,0.55,32.41,2,2021
Yes Bank Apps,29.34,3396.01,2,2021
YuvaPay,0.02,0.63,2,2021
AU Small Finance Bank App,0.04,21.33,3,2021
Airtel Payments Bank Apps,3.79,381.74,3,2021
Allahabad Bank App,0.05,13.51,3,2021
Amazon Pay,52.38,4457.47,3,2021
Axis Bank Apps,72.87,748.91,3,2021
BHIM,24.42,7653.21,3,2021
Bajaj Finserv,0.01,1.02,3,2021
Bank of Baroda Apps,0.78,294.28,3,2021
Bank of Maharashtra App,0.03,6.73,3,2021
Canara Bank App,0.1,47.87,3,2021
Central Bank of India App,0.12,46.03,3,2021
Citi Bank App,0.1,71.02,3,2021
Cointab,0.12,45.71,3,2021
Cred,4.96,5389.97,3,2021
DBS Digibank App,0.59,178.13,3,2021
Dena Bank App,0.02,23.57,3,2021
Deutsche Bank App,0.71,79.58,3,2021
Federal Bank App,0.2,38.85,3,2021
Fino Payments Bank App,0.01,1.28,3,2021
Google Pay,957.01,201185.14,3,2021
HDFC Bank Apps,1.59,244.17,3,2021
HSBC Bank App,0.08,45.89,3,2021
ICICI Bank Apps,13.95,3823.36,3,2021
IDBI Bank App,0.02,9.68,3,2021
IDFC Bank App,0.13,60.84,3,2021
India Post Payments Bank App,1.21,167.52,3,2021
Indian Bank App,0.09,34.1,3,2021
IndusInd Bank App,4.49,541.66,3,2021
Janta Sahakari Bank App,0.01,5.32,3,2021
Jio Payments Bank App,0.47,32.14,3,2021
Karnataka Bank App,0.12,20.89,3,2021
Karur Vysya Bank App,0.03,15.14,3,2021
Kotak Mahindra Bank Apps,2.26,397.99,3,2021
MI Pay,0.42,64.65,3,2021
MakeMy Trip,0.09,31.2,3,2021
Mobikwik,2.22,315.59,3,2021
Other Apps,0.02,11.62,3,2021
Paytm Payments Bank App,401.16,43221.25,3,2021
PhonePe,1199.51,231412.33,3,2021
Punjab National Bank App,0.14,72.25,3,2021
Punjab Sind Bank App,0.01,3.21,3,2021
RBL Bank App,0.14,59.94,3,2021
RealMe,0.01,1.44,3,2021
Samsung Pay,1.83,326.96,3,2021
South Indian Bank App,0.07,25.5,3,2021
Standard Chartered Bank App,0.05,30.66,3,2021
State Bank of India Apps,4.55,2578.38,3,2021
Truecaller,0.01,3.55,3,2021
UCO Bank App,0.07,16.08,3,2021
Ultracash,1.33,158.23,3,2021
Union Bank Apps,0.38,144.93,3,2021
WhatsApp,0.58,38.17,3,2021
Yes Bank Apps,29.14,4831.58,3,2021
YuvaPay,0.56,18.56,3,2021
AU Small Finance Bank App,0.04,20.23,4,2021
Airtel Payments Bank Apps,14.7,11172.43,4,2021
Allahabad Bank App,0.02,5.21,4,2021
Amazon Pay,49.12,4272.47,4,2021
Axis Bank Apps,80.52,747.46,4,2021
BHIM,22.26,6886.78,4,2021
Bajaj Finserv,0.01,0.96,4,2021
Bank of Baroda Apps,0.56,238.5,4,2021
Bank of India App,0.01,2.11,4,2021
Bank of Maharashtra App,0.02,6.05,4,2021
Canara Bank App,0.09,43.87,4,2021
Central Bank of India App,0.11,41.58,4,2021
Citi Bank App,0.08,68.17,4,2021
Cointab,0.11,40.84,4,2021
Cred,5.08,5419.88,4,2021
DBS Digibank App,0.54,164.93,4,2021
Dena Bank App,0.02,22.37,4,2021
Deutsche Bank App,0.43,43.58,4,2021
Federal Bank App,0.19,39.57,4,2021
Fino Payments Bank App,0.01,1.18,4,2021
Google Pay,905.96,190106.71,4,2021
HDFC Bank Apps,1.42,243.86,4,2021
HSBC Bank App,0.07,40.03,4,2021
ICICI Bank Apps,14.37,3827.95,4,2021
IDBI Bank App,0.02,9.59,4,2021
IDFC Bank App,0.15,65.23,4,2021
India Post Payments Bank App,1.32,174.08,4,2021
Indian Bank App,0.06,24.13,4,2021
IndusInd Bank App,4.2,654.49,4,2021
Jio Payments Bank App,0.57,35.43,4,2021
Karnataka Bank App,0.12,21.13,4,2021
Karur Vysya Bank App,0.03,13.08,4,2021
Kotak Mahindra Bank Apps,2.13,381.37,4,2021
MI Pay,0.38,58.08,4,2021
MakeMy Trip,0.08,26.08,4,2021
Mobikwik,2.09,254.32,4,2021
Other Apps,0.03,13.88,4,2021
Paytm Payments Bank App,372.7,41469.53,4,2021
PhonePe,1189.89,234023.33,4,2021
Punjab National Bank App,0.12,63.07,4,2021
RBL Bank App,0.13,58.08,4,2021
Samsung Pay,1.62,312.93,4,2021
South Indian Bank App,0.07,23.53,4,2021
Standard Chartered Bank App,0.06,33.32,4,2021
State Bank of India Apps,4.14,2359.08,4,2021
UCO Bank App,0.07,16.17,4,2021
Ultracash,1.49,178.72,4,2021
Union Bank Apps,0.34,135.79,4,2021
WhatsApp,0.54,47.62,4,2021
Yes Bank Apps,22.81,5120.17,4,2021
YuvaPay,1.59,51.22,4,2021
AU Small Finance Bank App,0.04,20.29,5,2021
Airtel Payments Bank Apps,4.06,429.12,5,2021
Allahabad Bank App,0.01,4.43,5,2021
Amazon Pay,58.35,4782.59,5,2021
Axis Bank Apps,68.9,806.31,5,2021
BHIM,21.02,6776.2,5,2021
Bajaj Finserv,0.01,0.77,5,2021
Bank of Baroda Apps,0.54,230.89,5,2021
Bank of India App,0.01,5.23,5,2021
Bank of Maharashtra App,0.02,6.18,5,2021
Canara Bank App,0.09,45.92,5,2021
Central Bank of India App,0.1,42.18,5,2021
Citi Bank App,0.08,70.14,5,2021
Cointab,0.1,35.72,5,2021
Cred,5.65,6142.78,5,2021
DBS Digibank App,0.47,160.73,5,2021
Dena Bank App,0.02,20.9,5,2021
Deutsche Bank App,0.21,14.73,5,2021
Federal Bank App,0.17,38.99,5,2021
Fino Payments Bank App,0.01,1.23,5,2021
Google Pay,880.59,187136.95,5,2021
HDFC Bank Apps,1.56,274.77,5,2021
HSBC Bank App,0.06,35.68,5,2021
ICICI Bank Apps,13.16,4514.11,5,2021
IDBI Bank App,0.02,10.36,5,2021
IDFC Bank App,0.15,72.34,5,2021
India Post Payments Bank App,1.29,178.52,5,2021
Indian Bank App,0.06,26.84,5,2021
IndusInd Bank App,3.12,433.37,5,2021
Jio Payments Bank App,0.68,40.92,5,2021
Karnataka Bank App,0.1,20.74,5,2021
Karur Vysya Bank App,0.02,11.59,5,2021
Kotak Mahindra Bank Apps,2.37,427.4,5,2021
MI Pay,0.37,55.17,5,2021
MakeMy Trip,0.03,11.47,5,2021
Mobikwik,3.18,467.11,5,2021
NSDL Payments Bank App,0.01,0.58,5,2021
Others,0.03,12.47,5,2021
Paytm Payments Bank App,343.81,43741.16,5,2021
PhonePe,1149.84,234123.57,5,2021
Punjab National Bank App,0.11,55.51,5,2021
RBL Bank App,0.12,56.21,5,2021
Samsung Pay,1.36,302.68,5,2021
South Indian Bank App,0.05,19.67,5,2021
Standard Chartered Bank App,0.06,36.73,5,2021
State Bank of India Apps,3.69,2079.32,5,2021
UCO Bank App,0.08,19.5,5,2021
Ultracash,1.15,142.92,5,2021
Union Bank Apps,0.28,110.65,5,2021
WhatsApp,0.51,48.15,5,2021
Yes Bank Apps,21.08,4486.54,5,2021
YuvaPay,2.32,73.16,5,2021
AU Small Finance Bank App,0.05,25.43,6,2021
Airtel Payments Bank Apps,6.69,2821.94,6,2021
Amazon Pay,51.34,4814.74,6,2021
Axis Bank Apps,61.92,857.05,6,2021
BHIM,22.84,7319.77,6,2021
Bajaj Finserv,0.01,1.05,6,2021
Bank of Baroda Apps,0.6,265.38,6,2021
Bank of India App,0.02,8.25,6,2021
Bank of Maharashtra App,0.03,6.82,6,2021
Canara Bank App,0.1,52.64,6,2021
Central Bank of India App,0.11,45.3,6,2021
Citi Bank App,0.08,75.09,6,2021
Cointab,0.12,40.95,6,2021
Cred,5.77,6151.57,6,2021
DBS Digibank App,0.51,170.57,6,2021
Dena Bank App,0.02,21.57,6,2021
Deutsche Bank App,0.32,27.44,6,2021
Federal Bank App,0.21,49.99,6,2021
Fino Payments Bank App,0.01,1.09,6,2021
Google Pay,972.26,207287.73,6,2021
HDFC Bank Apps,2.07,408.61,6,2021
HSBC Bank App,0.07,35.57,6,2021
ICICI Bank Apps,15.29,5076.12,6,2021
IDBI Bank App,0.02,10.86,6,2021
IDFC Bank App,0.21,101.74,6,2021
India Post Payments Bank App,1.47,203.73,6,2021
Indian Bank App,0.05,25.18,6,2021
IndusInd Bank App,2.18,421.41,6,2021
Jio Payments Bank App,0.8,52.08,6,2021
Karnataka Bank App,0.12,22.51,6,2021
Karur Vysya Bank App,0.03,12.59,6,2021
Kotak Mahindra Bank Apps,2.8,535.98,6,2021
MI Pay,0.36,56.69,6,2021
MakeMy Trip,0.06,22.16,6,2021
Mobikwik,3.21,535.12,6,2021
Others,0.05,19.27,6,2021
Paytm Payments Bank App,383.05,44981.11,6,2021
PhonePe,1292.71,262565.88,6,2021
Punjab National Bank App,0.08,41.1,6,2021
RBL Bank App,0.13,61.95,6,2021
Samsung Pay,1.64,331.04,6,2021
South Indian Bank App,0.06,24.3,6,2021
Standard Chartered Bank App,0.06,39.42,6,2021
State Bank of India Apps,3.43,1978.61,6,2021
UCO Bank App,0.09,20.8,6,2021
Ultracash,1.19,148.09,6,2021
Union Bank Apps,0.29,128.37,6,2021
WhatsApp,0.46,42.44,6,2021
Yes Bank Apps,24.72,5227.04,6,2021
YuvaPay,1.33,60.44,6,2021
AU Small Finance Bank App,0.08,33.12,7,2021
Airtel Payments Bank Apps,7.36,2342.76,7,2021
Allahabad Bank App,0.01,2.03,7,2021
Amazon Pay,62.83,5223.57,7,2021
Axis Bank Apps,74.13,941.35,7,2021
BHIM,23.76,7442.86,7,2021
Bajaj Finserv,0.02,1.55,7,2021
Bank of Baroda Apps,0.67,284.99,7,2021
Bank of India App,0.03,9.8,7,2021
Bank of Maharashtra App,0.03,7.27,7,2021
Canara Bank App,0.11,55.83,7,2021
Central Bank of India App,0.12,46.71,7,2021
Citi Bank App,0.09,80.39,7,2021
City Union Bank App,0.01,2.09,7,2021
Cointab,0.17,49.15,7,2021
Cred,7.12,8121.41,7,2021
DBS Digibank App,0.57,189.67,7,2021
Dena Bank App,0.02,24.26,7,2021
Deutsche Bank App,0.52,55.55,7,2021
Federal Bank App,0.28,68.82,7,2021
Fino Payments Bank App,0.01,1.13,7,2021
Google Pay,1119.16,230847.54,7,2021
HDFC Bank Apps,3,588.25,7,2021
HSBC Bank App,0.06,40.52,7,2021
ICICI Bank Apps,18.26,5896.05,7,2021
IDBI Bank App,0.02,11.24,7,2021
IDFC Bank App,0.3,130.1,7,2021
India Post Payments Bank App,1.79,231.52,7,2021
Indian Bank App,0.08,33.52,7,2021
IndusInd Bank App,2.18,458.06,7,2021
Jio Payments Bank App,1.03,63.44,7,2021
Jupiter Money,0.01,2.07,7,2021
Karnataka Bank App,0.13,18.45,7,2021
Karur Vysya Bank App,0.03,14.6,7,2021
Kotak Mahindra Bank Apps,3.46,642.53,7,2021
MI Pay,0.34,53.34,7,2021
MakeMy Trip,0.08,29.31,7,2021
Mobikwik,2.8,402.42,7,2021
NSDL Payments Bank App,0.01,0.86,7,2021
Other Bank Apps,0.04,16.61,7,2021
Paytm Payments Bank App,454.06,51694.41,7,2021
PhonePe,1492.09,288572.9,7,2021
Punjab National Bank App,0.02,8.86,7,2021
RBL Bank App,0.15,68.54,7,2021
Samsung Pay,2.02,367.67,7,2021
South Indian Bank App,0.08,28.23,7,2021
Standard Chartered Bank App,0.08,46.29,7,2021
State Bank of India Apps,3.55,1908.2,7,2021
UCO Bank App,0.08,22.5,7,2021
Ultracash,1.45,158.45,7,2021
Union Bank Apps,0.33,137.37,7,2021
WhatsApp,0.47,45.33,7,2021
Yes Bank Apps,25.94,4811.73,7,2021
YuvaPay,0.48,38.3,7,2021
AU Small Finance Bank App,0.1,38.53,8,2021
Airtel Payments Bank Apps,9.31,2941.88,8,2021
Allahabad Bank App,0.01,4.44,8,2021
Amazon Pay,60.67,5297.16,8,2021
Axis Bank Apps,87.49,959.73,8,2021
BHIM,26.33,8063.93,8,2021
Bajaj Finserv,0.04,2.85,8,2021
Bank of Baroda Apps,0.75,302.06,8,2021
Bank of India App,0.03,10.31,8,2021
Bank of Maharashtra App,0.04,7.76,8,2021
Canara Bank App,0.14,56.23,8,2021
Central Bank of India App,0.13,47.83,8,2021
Citi Bank App,0.09,72.04,8,2021
City Union Bank App,0.01,2.73,8,2021
Cointab,0.28,63.77,8,2021
Cred,7.5,9040.43,8,2021
DBS Digibank App,0.57,187.52,8,2021
Dena Bank App,0.02,23.12,8,2021
Deutsche Bank App,0.73,81.74,8,2021
Federal Bank App,0.35,74.71,8,2021
Fino Payments Bank App,0.02,1.38,8,2021
Google Pay,1243.75,244453.05,8,2021
HDFC Bank Apps,3.1,676.72,8,2021
HSBC Bank App,0.07,39.24,8,2021
ICICI Bank Apps,19.81,5621.27,8,2021
IDBI Bank App,0.03,11.26,8,2021
IDFC Bank App,0.4,155.19,8,2021
India Post Payments Bank App,2,255.16,8,2021
Indian Bank App,0.08,34.46,8,2021
IndusInd Bank App,0.52,570.21,8,2021
Janta Sahakari Bank App,0.01,4.8,8,2021
Jio Payments Bank App,1.06,68.16,8,2021
Jupiter Money,0.07,17.36,8,2021
Karnataka Bank App,0.12,15.38,8,2021
Karur Vysya Bank App,0.03,15.25,8,2021
Kotak Mahindra Bank Apps,3.98,723.21,8,2021
MI Pay,0.34,50.26,8,2021
MakeMy Trip,0.08,25.28,8,2021
Mobikwik,2.59,418.04,8,2021
NSDL Payments Bank App,0.01,0.85,8,2021
Other Apps,0.02,10.41,8,2021
Paytm Payments Bank App,498.65,56319.62,8,2021
PhonePe,1622.95,301644.8,8,2021
Punjab National Bank App,0.04,15.28,8,2021
Punjab Sindh Bank App,0.01,2.53,8,2021
RBL Bank App,0.16,70.24,8,2021
RealMe,0.01,0.41,8,2021
Samsung Pay,2.25,372.08,8,2021
South Indian Bank App,0.09,31.69,8,2021
Standard Chartered Bank App,0.08,45.31,8,2021
State Bank of India Apps,3.69,1905.52,8,2021
UCO Bank App,0.09,21.64,8,2021
Ultracash,1.66,161.92,8,2021
Union Bank Apps,0.37,150.94,8,2021
WhatsApp,0.5,44.7,8,2021
Yes Bank Apps,24.35,5702.87,8,2021
YuvaPay,0.02,19.01,8,2021
AU Small Finance Bank App,0.13,46.49,9,2021
Airtel Payments Bank Apps,11.52,3759.12,9,2021
Allahabad Bank App,0.02,5.34,9,2021
Amazon Pay,62.9,5267.79,9,2021
Axis Bank Apps,59.13,832.73,9,2021
BHIM,25.36,7538.58,9,2021
Bajaj Finserv,0.04,3.03,9,2021
Bank of Baroda Apps,0.73,293.05,9,2021
Bank of India App,0.03,12.45,9,2021
Bank of Maharashtra App,0.04,7.8,9,2021
Canara Bank App,0.16,51.88,9,2021
Central Bank of India App,0.13,47.35,9,2021
Citi Bank App,0.12,68.42,9,2021
City Union Bank App,0.01,3.32,9,2021
Cointab,0.34,69.81,9,2021
Cred,7.74,9614.36,9,2021
DBS Digibank App,0.55,180.79,9,2021
Dena Bank App,0.02,24.37,9,2021
Deutsche Bank App,0.76,70.24,9,2021
Dhanlaxmi Bank App,0.01,2.86,9,2021
Federal Bank App,0.39,79.44,9,2021
Fino Payments Bank App,0.02,1.63,9,2021
Finshell Pay,0.02,0.72,9,2021
Goibibo,0.01,2.62,9,2021
Google Pay,1294.56,250393.65,9,2021
HDFC Bank Apps,3.14,772.08,9,2021
HSBC Bank App,0.08,43.02,9,2021
ICICI Bank Apps,22.11,6579.65,9,2021
IDBI Bank App,0.02,12,9,2021
IDFC Bank App,0.49,181.96,9,2021
India Post Payments Bank App,2.28,267.94,9,2021
Indian Bank App,0.08,35.34,9,2021
IndusInd Bank App,0.33,532.43,9,2021
Jio Payments Bank App,1.24,74.89,9,2021
Jupiter Money,0.13,29.3,9,2021
Karnataka Bank App,0.16,18.64,9,2021
Karur Vysya Bank App,0.03,14.14,9,2021
Kotak Mahindra Bank Apps,4.31,771.05,9,2021
MI Pay,0.36,51.29,9,2021
MakeMy Trip,0.08,25.67,9,2021
Mobikwik,3.2,687.94,9,2021
NSDL Payments Bank App,0.01,0.84,9,2021
Other Apps,0.03,11.75,9,2021
Paytm Payments Bank App,543.55,61417.53,9,2021
PhonePe,1653.19,306437.37,9,2021
Punjab National Bank App,0.07,25.07,9,2021
Punjab Sindh Bank App,0.01,2.7,9,2021
RBL Bank App,0.17,65.95,9,2021
Samsung Pay,2.37,371.1,9,2021
South Indian Bank App,0.09,31.18,9,2021
Standard Chartered Bank App,0.08,45.86,9,2021
State Bank of India Apps,3.77,1874.58,9,2021
UCO Bank App,0.1,23.44,9,2021
Ultracash,2.02,163.57,9,2021
Union Bank Apps,0.41,155.2,9,2021
WhatsApp,1.01,62.31,9,2021
Yes Bank Apps,23.03,4994.33,9,2021
YuvaPay,0.04,46.94,9,2021
AU Small Finance Bank App,0.16,62.15,10,2021
Airtel Payments Bank Apps,14.31,4746.79,10,2021
Allahabad Bank App,0.02,6.35,10,2021
Amazon Pay,68.82,6286.6,10,2021
Axis Bank Apps,69.28,1005.7,10,2021
BHIM,27.27,8513.82,10,2021
Bajaj Finserv,0.06,4.3,10,2021
Bank of Baroda Apps,0.8,344.85,10,2021
Bank of India App,0.03,12.88,10,2021
Bank of Maharashtra App,0.04,10.5,10,2021
Canara Bank App,0.21,77.06,10,2021
Central Bank of India App,0.12,45.48,10,2021
Citi Bank App,0.11,81.21,10,2021
City Union Bank App,0.01,3.95,10,2021
Cointab,0.45,84.71,10,2021
Cred,9.73,12561.25,10,2021
DBS Digibank App,0.58,198.18,10,2021
Dena Bank App,0.02,27.43,10,2021
Deutsche Bank App,0.85,99.23,10,2021
Federal Bank App,0.44,90.5,10,2021
Fino Payments Bank App,0.02,1.75,10,2021
Finshell Pay,0.03,1.26,10,2021
Google Pay,1451.93,287491.46,10,2021
HDFC Bank Apps,5.02,1082.99,10,2021
HSBC Bank App,0.08,53.39,10,2021
ICICI Bank Apps,29.27,6329.63,10,2021
IDBI Bank App,0.03,14.22,10,2021
IDFC Bank App,0.62,231.02,10,2021
India Post Payments Bank App,2.39,291.7,10,2021
Indian Bank App,0.09,38.84,10,2021
IndusInd Bank App,1.05,1014.56,10,2021
Jio Payments Bank App,1.33,85.75,10,2021
Jupiter Money,0.29,60,10,2021
Karnataka Bank App,0.2,25.71,10,2021
Karur Vysya Bank App,0.03,15.4,10,2021
Kotak Mahindra Bank Apps,5.38,944.5,10,2021
MI Pay,0.37,54.77,10,2021
MakeMy Trip,0.13,48.4,10,2021
Mobikwik,4.08,1070.32,10,2021
Other Apps,0.05,21.51,10,2021
Paytm Payments Bank App,632.18,80508.04,10,2021
PhonePe,1937.57,365845.39,10,2021
Punjab National Bank App,0.08,32.06,10,2021
RBL Bank App,0.22,84.08,10,2021
Samsung Pay,2.81,428.41,10,2021
South Indian Bank App,0.11,37.4,10,2021
Standard Chartered Bank App,0.1,56.38,10,2021
State Bank of India Apps,3.98,2089.18,10,2021
UCO Bank App,0.11,27.95,10,2021
Ultracash,2.32,170.32,10,2021
Union Bank Apps,0.66,223.98,10,2021
WhatsApp*,2.6,104.19,10,2021
Yes Bank Apps,28.41,7660.27,10,2021
YuvaPay,0.04,61.62,10,2021
AU Small Finance Bank App,0.17,67.04,11,2021
Airtel Payments Bank Apps,15.9,5554.63,11,2021
Allahabad Bank App,0.02,6.28,11,2021
Amazon Pay,71.04,6041.96,11,2021
Axis Bank Apps,70.83,920.76,11,2021
BHIM,25.23,8237.22,11,2021
Bajaj Finserv,0.06,4.1,11,2021
Bank of Baroda Apps,0.75,329.77,11,2021
Bank of India App,0.03,13.54,11,2021
Bank of Maharashtra App,0.04,10.84,11,2021
Canara Bank App,0.21,78.32,11,2021
Central Bank of India App,0.11,43.57,11,2021
Citi Bank App,0.09,77.41,11,2021
City Union Bank App,0.01,3.85,11,2021
Cointab,0.64,112.28,11,2021
Cred,9.03,12277.85,11,2021
DBS Digibank App,0.52,185.2,11,2021
